ＰＩコード	Ｈ寸法	Ｗ寸法	裏板	裏板Ｈ	裏板Ｗ	プラスタ	ﾌﾟﾗｽﾀＨ	ﾌﾟﾗｽﾀＷ	板厚	登録	備考
30902014	41	76	5SECC	-20	-52	1	-20	-52	0.5		LUXﾊﾟﾈﾙ06ﾇﾘｳﾗｲﾀ・ｱﾅﾂｷ
30902015	41	76	5SECC	-20	-52	1	-20	-52	0.5		LUXﾊﾟﾈﾙｳｴ06ﾇﾘｳﾗｲﾀﾂｷ
30904010	41	71	0			1	-20	-52	0.5		SLUXﾊﾟﾈﾙ06 ﾇﾘ
30904011	41	71	0			1	-20	-52	0.5		SLUXﾊﾟﾈﾙ06 ﾇﾘ ｱﾅﾂｷ
30904012	41	71	0			1	-20	-52	0.5		SLUXﾊﾟﾈﾙ(ｳｴ)06 ﾇﾘ
30904013	41	71	5SECC	-20	-52	1	-20	-52	0.5		SLUXﾊﾟﾈﾙ06 ﾇﾘ ｳﾗｲﾀﾂｷ
30904014	41	71	5SECC	-20	-52	1	-20	-52	0.5		SLUXﾊﾟﾈﾙ06ﾇﾘｳﾗｲﾀｱﾅﾂｷ
30904015	41	71	5SECC	-20	-52	1	-20	-52	0.5		SLUXﾊﾟﾈﾙｳｴ06ﾇﾘｳﾗｲﾀﾂｷ
30904022	41	76	0			1	-20	-52	0.5	2025/1/31	LUXﾊﾟﾈﾙTM
30904023	41	76	0			1	-20	-52	0.5	2025/1/31	LUXﾊﾟﾈﾙTM ﾇﾘ
30904024	41	71	0			1	-20	-52	0.5	2025/1/31	SLUXﾊﾟﾈﾙTM
30904024	41	71	0			1	-20	-52	0.5	2025/1/31	SLUXﾊﾟﾈﾙTM ﾇﾘ
30905000	24	71	0			1	-3	-52	0.5		MWﾊﾟﾈﾙ
30905001	24	71	0			1	-3	-52	0.5		MWﾊﾟﾈﾙ ｱﾅﾂｷ
30905002	24	71	5SECC	-3	-52	1	-3	-52	0.5		MWﾊﾟﾈﾙ ｳﾗﾂｷ
30905003	24	71	5SECC	-3	-52	1	-3	-52	0.5		MWﾊﾟﾈﾙ ｳﾗﾂｷ ｱﾅﾂｷ
30906000	24	71	0	-3	-52	1	-3	-52	0.6		MWﾊﾟﾈﾙ 06ﾇﾘ
30906001	24	71	0	-3	-52	1	-3	-52	0.6		MWﾊﾟﾈﾙ 06ﾇﾘ ｱﾅﾂｷ
30906002	24	71	0	-3	-52	1	-3	-52	0.6		MWﾊﾟﾈﾙ(ｳｴ) 06ﾇﾘ
30906003	24	71	5SECC	-3	-52	1	-3	-52	0.6		MWﾊﾟﾈﾙ 06ﾇﾘ ｳﾗﾂｷ
30906004	24	71	5SECC	-3	-52	1	-3	-52	0.6		MWﾊﾟﾈﾙ 06ﾇﾘ ｳﾗﾂｷ ｱﾅﾂｷ
30906005	24	71	5SECC	-3	-52	1	-3	-52	0.6		MWﾊﾟﾈﾙ(ｳｴ) 06ﾇﾘ ｳﾗﾂｷ
30907000	24	71	0	-3	-52	1	-3	-52	0.8		MWﾊﾟﾈﾙ 08ﾇﾘ
30907001	24	71	0	-3	-52	1	-3	-52	0.8		MWﾊﾟﾈﾙ 08ﾇﾘ ｱﾅﾂｷ
30907002	24	71	0	-3	-52	1	-3	-52	0.8		MWﾊﾟﾈﾙ(ｳｴ) 08ﾇﾘ
30907003	24	71	5SECC	-3	-52	1	-3	-52	0.8		MWﾊﾟﾈﾙ 08ﾇﾘ ｳﾗﾂｷ
30907004	24	71	5SECC	-3	-52	1	-3	-52	0.8		MWﾊﾟﾈﾙ 08ﾇﾘ ｳﾗﾂｷ ｱﾅﾂｷ
30907005	24	71	5SECC	-3	-52	1	-3	-52	0.8		MWﾊﾟﾈﾙ(ｳｴ) 08ﾇﾘ ｳﾗﾂｷ
RW1	0	0	0	0	0	0	0	0	0.5		
30908000	24	71	0	-3	-52	1	-3	-52	0.8		MWﾊﾟﾈﾙ 08
ﾄｸ0ﾒｼﾞLUX	41	84	0	-20	-60	1	-20	-60	0.5		ﾄｸ目地なしLUX
ﾄｸ0ﾒｼﾞLUX0.8	39	82	0	-20	-60	1	-20	-60	0.5		ﾄｸ目地なしLUX08仕様
ﾄｸ0ﾒｼﾞSLUX	41	79	0	-20	-60	1	-20	-60	0.5		ﾄｸ目地なしSLUX
ﾄｸ1ﾒｼﾞSLUX	41	73	0			1	-20	-54	0.5		ﾄｸ目地なしSLUX L1R1
ﾄｸ4ﾒｼﾞLUX	41	80	0	-20	56	1	-20	-60	0.5		LR目地なしLUX
81140000	23.7	71	5SECC	-43	-52	1	-43	-52	0.5		ｽｲｯﾁﾊﾟﾈﾙｳﾗﾂｷ
77151100	41	76	0			1	-40	-52	0.5		LUXﾊﾟﾈﾙ BLｳﾗﾂｷ
77152100	41	76	0			1	-40	-52	0.5		LUXﾊﾟﾈﾙ(ｳｴ)BLｳﾗﾂｷﾇﾘ
77154100	41	71	0			1	-40	-52	0.5		SLUXﾊﾟﾈﾙ BLｳﾗﾂｷ
77155100	41	71	0			1	-40	-52	0.5		SLUXﾊﾟﾈﾙ(ｳｴ)BLｳﾗﾂｷﾇﾘ
77157100	24	71	0			1	-32	-52	0.5		MWﾊﾟﾈﾙ BLｳﾗﾂｷ
77158100	24	71	0			1	-32	-52	0.5		MWﾊﾟﾈﾙ(ｳｴ) BLｳﾗﾂｷ ﾇﾘ
77161000	41	76	5SECC	-140	-52	1	-40	-52	0.5		LUXﾊﾟﾈﾙ  BLｾﾞﾝｳﾗﾂｷ
77162100	41	76	5SECC	-140	-52	1	-40	-52	0.5		LUXﾊﾟﾈﾙ ｳｴBLｾﾞﾝｳﾗﾇﾘ
77164000	41	71	5SECC	-140	-52	1	-40	-52	0.5		SLUXﾊﾟﾈﾙ BLｾﾞﾝｳﾗﾂｷ
77165100	41	71	5SECC	-140	-52	1	-40	-52	0.5		SLUXﾊﾟﾈﾙ ｳｴBLｾﾞﾝｳﾗﾇﾘ
77167000	24	71	5SECC	-132	-52	1	-32	-52	0.5		MWﾊﾟﾈﾙ BLｾﾞﾝｳﾗﾂｷ
77168100	24	71	5SECC	-132	-52	1	-32	-52	0.5		MWﾊﾟﾈﾙ ｳｴBLｾﾞﾝｳﾗﾇﾘ
77131200	41	84	0			1	-20	-60	0.5	Feb-21	LUXﾊﾟﾈﾙ4
77131300	41	84	0			1	-20	-60	0.5		LUXﾊﾟﾈﾙ4 ﾇﾘ
77132300	41	84	0			1	-20	-60	0.5		LUXﾊﾟﾈﾙ4(ｳｴ) ﾇﾘ
77141200	41	84	5SECC	-20	-60	1	-20	-60	0.5		LUXﾊﾟﾈﾙ4 ｳﾗﾂｷ
77141300	41	84	5SECC	-20	-60	1	-20	-60	0.5		LUXﾊﾟﾈﾙ4 ｳﾗﾂｷ ﾇﾘ
77131800	41	84	0	-20	-60	1	-20	-60	0.5		LUXﾊﾟﾈﾙ2
77141800	41	84	5SECC	-20	-60	1	-20	-60	0.5		LUXﾊﾟﾈﾙ2 ｳﾗﾂｷ
77141900	41	84	5SECC	-20	-60	1	-20	-60	0.5		LUXﾊﾟﾈﾙ2 ｳﾗﾂｷ ﾇﾘ
77142300	41	84	5SECC	-20	-60	1	-20	-60	0.5		LUXﾊﾟﾈﾙ4(ｳｴ) ｳﾗﾂｷ ﾇﾘ
77142900	41	84	5SECC	-20	-60	1	-20	-60	0.5		LUXﾊﾟﾈﾙ2(ｳｴ) ｳﾗﾂｷ ﾇﾘ
77144200	41	81	5SECC	-20	-60	1	-20	-60	0.5		SLUXﾊﾟﾈﾙ4 ｳﾗﾂｷ
